                           TxHash                                 TxIx        Amount
03b9d946623dcb9e613869de569e7989cd55d2adeb0ccb47bda0d97b240b6c87     0        6262430 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
03bbe018b6481c1d131d2fb5cb207619332144d4f2581bf7268c4888df7beaa5     0        6262430 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
03c661dc5cf321ccf3e104fd62ff0fe4bd4f298e515f2c8bde1a62faacf77a43     0        6262430 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
03ceb7664a3fa5638323e016d9e35db53d366ae9120f28b67a462fb193cd6078     0        19476890 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
03fb86cbdc3edaa41102423e40142c75511f0643071103d5ecec12b437f87f29     0        6279670 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
041647eecc8314c459f0c346977c387f2dc7741fa1248ddbfdec5542bc7985ae     0        1202490 lovelace + 1 ec58c51a266f0d8667f1239538af5aad958c50196874493bd1e9ee65.61757468 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataBytes "[1687932468543] Inbound Message!")
043e1ca95e8ca261537d5b7e7eec80077a863f5814e58b129ad533540f7337ed     0        1202490 lovelace + 1 ec58c51a266f0d8667f1239538af5aad958c50196874493bd1e9ee65.61757468 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataBytes "[1688368869649] Inbound Message!")
044f732482d2c0c5f74032738c470cc323fc88b78c578ff00b8d0d2c7c0a286d     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
045b7517b4b4987ea3470e0c277468012dabbae293913de22ed093e768d7596a     0        9688880 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
046931562296c310a1d64c0ae3ae584017bb37c2d061a98079fce4dd5000f6db     0        5240960 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
0479b72d11dad8793894aa3cbbec43aa7879a9380a49070a63dc8a2a805195d7     0        10244870 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
049c83cc30f177664a4b3657b572c9c03498ae1483148cfe04eb06743504e317     0        4253970 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
049c83cc30f177664a4b3657b572c9c03498ae1483148cfe04eb06743504e317     1        4262590 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
04b355b94eee625079ed270fe572a6141fc7352413a2bcdbe661df8b589713b4     0        41268250 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
04b63b625fbcb8dd98976d431aa92190f808d3b71971d3aa03e77a6a784c9ee4     0        5301300 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
050e99e1602065e5c89a480e1499cb186996d2922ff51d0052a3399772608c0d     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0510a3d599ddfc1913617ba76e0f76135eda6fe87548b841372eb41061574bb3     0        23243830 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
051a7a4269d22b021363dda54b67f0e514b6683aa9c26f8dcb233c54080b7967     0        5240960 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
052318227d8ae8a4ca4202665b39c82e939aaa5cd27577508cc76e6313b3a4d6     0        22575780 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
054fe695ab0ad7c79ede88783901d527a0b2f83546af645132315a50842f7afc     0        9688880 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
056fe8c55f5632eda8b485d500e3b9cc09b9ec42fcd41dbabead488fdf478039     0        35191150 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0583d166d216296ac5a09a68a38db78e98868e0717888c3c97095da0d229f781     0        35191150 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
058e8c6a77500ac5d181892936dd2b06635e6e9a4274f347ba068d5f313e6174     0        4611700 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
059263b5a18cb9bf61dcca98a497d30b678c965dbde1f03f6b6504bc14dad004     0        20812990 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
05ab52a7c06451d0f2a8c7354c136a695210a46ffc74fc30eaa80446bba44a41     0        47616880 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
05b1d9bab788e543f6d64bfc4b30c09d80cb97abc8057392fd016b846ceecf77     0        2400161 lovelace + TxOutDatumHash ScriptDataInBabbageEra "9e1199a988ba72ffd6e9c269cadb3b53b5f360ff99f112d9b2ee30c4d74ad88b"
05cd94334ea37358bc6e6e53dcf71cd39c2a245df70d31230d6388fa5aa9f3d2     0        9688880 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
05dda6947f81c8d9cc6557a2ed00e467be4551518918dd455fbdc8f870d1b245     0        28101200 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
